ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Unit Of Sale,Volume Of Sale,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web
10595303,VITAMIN STORE CALC & VIT D 4,VITAMIN STORE CALC & VIT D 400MG,0.5,1,1,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595304,VITAMIN STORE COD LIV OIL 50,VITAMIN STORE COD LIV OIL 500MG2,0.58,1,1,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595305,VITAMIN STORE EVE PRIM OIL 5,VITAMIN STORE EVE PRIM OIL 500MG,0.75,1.49,1.49,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595306,VITAMIN STORE GLUCO 2KCI 400,VITAMIN STORE GLUCO 2KCI 400MG31,0.53,1,1,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595307,VITAMIN STORE MULTI VIT & IR,VITAMIN STORE MULTI VIT & IRON 3,0.58,1,1,,20,0,health&beauty,,,0,0,Rayburn,,0,Standard,,,,,,,y,n
10595308,VITAMIN STORE OMEGA 3 1000MG,VITAMIN STORE OMEGA 3 1000MG30/1,0.58,1,1,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595309,VITAMIN STORE VITAMIN C 200M,VITAMIN STORE VITAMIN C 200MG28/,0.53,1,1,,20,0,health&beauty,,,0,5.00045E+12,Rayburn,,0,Standard,,,,,,,y,n
10595310,VIVAC LADIES TRIPLE BLADE RA,VIVAC LADIES TRIPLE BLADE RAZOR,0.54,1,1,,20,0,health&beauty,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595311,Volvic Natural Mineral Water,Volvic Natural Mineral Water 500,0.18,0.35,0.35,,20,0,drinks,,,0,3.05764E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595312,Volvic Touch Of Fruit Lemon,Volvic Touch Of Fruit Lemon & Li,0.34,0.69,0.69,,20,0,drinks,,,0,3.05764E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
